SchoolName,URL,Sector,Year_Range,Type,Address,Suburb,State,Postcode,Latitude,Longitude,Score
Penders Grove Primary School,http://www.pendersgroveps.vic.edu.au,Government,Prep-6,Primary,370 VICTORIA ROAD,THORNBURY,VIC,3071,-37.754705,145.014863,78
Greenhills Primary School,http://www.greenhillsps.vic.edu.au,Government,Prep-6,Primary,MINE STREET,GREENSBOROUGH,VIC,3088,-37.6919358,145.1182435,95
Norris Bank Primary School,http://norrisbkps.vic.edu.au,Government,Prep-6,Primary,146 SETTLEMENT ROAD,BUNDOORA,VIC,3083,-37.694206,145.042893,75
Apollo Parkways Primary School,http://www.apolloparkps.vic.edu.au,Government,Prep-6,Primary,31-43 CIVIC DRIVE,GREENSBOROUGH,VIC,3088,-37.687355,145.109547,91
Alphington Primary School,http://www.alphinps.vic.edu.au/index.htm,Government,Prep-6,Primary,YARRALEA STREET,ALPHINGTON,VIC,3078,-37.7835505,145.0322375,99
Preston Primary School,http://www.preston-ps.vic.edu.au,Government,Prep-6,Primary,240 TYLER STREET,PRESTON,VIC,3072,-37.730108,145.010828,92
Preston South Primary School,http://www.prestonsouthps.vic.edu.au,Government,Prep-6,Primary,56B HOTHAM STREET,PRESTON,VIC,3072,-37.7479,145.00793,91
Reservoir Views Primary School,http://www.reservoirviewsps.vic.edu.au/,Government,Prep-6,Primary,110 ST VIGEONS ROAD,RESERVOIR,VIC,3073,-37.705693,145.021656,73
Fairfield Primary School,http://www.fairfieldps.vic.edu.au,Government,Prep-6,Primary,LANGRIDGE STREET,FAIRFIELD,VIC,3078,-37.778144,145.021055,90
Wales Street Primary School,http://www.walesstps.vic.edu.au/,Government,Prep-6,Primary,WALES STREET,THORNBURY,VIC,3071,-37.7618178,145.0082123,92
Eltham East Primary School,http://www.elthameastps.vic.edu.au,Government,Prep-6,Primary,16 Grove St,ELTHAM,VIC,3095,-37.711767,145.155269,97
Glen Katherine Primary School,http://www.glenkps.vic.edu.au,Government,Prep-6,Primary,CALENDONIA DRIVE,ELTHAM NORTH,VIC,3095,-37.6905883,145.1397721,87
Eltham North Primary School,http://www.elthamnorthps.vic.edu.au,Government,Prep-6,Primary,35-47 WATTLETREE ROAD,ELTHAM NORTH,VIC,3095,-37.69971,145.150913,88
Reservoir Primary School,http://www.reservoirps.vic.edu.au,Government,Prep-6,Primary,DUFFY STREET,RESERVOIR,VIC,3073,-37.7113804,145.0066245,81
Mill Park Primary School,http://www.millparkps.vic.edu.au,Government,Prep-6,Primary,BLAMEY AVENUE,MILL PARK,VIC,3082,-37.674867,145.0658086,86
Preston West Primary School,http://www.prestonwest.vic.edu.au,Government,Prep-6,Primary,383 MURRAY ROAD,PRESTON,VIC,3072,-37.738959,144.995451,99
Thornbury Primary School,http://www.thornburyps.vic.edu.au,Government,Prep-6,Primary,HUTTON STREET,THORNBURY,VIC,3071,-37.755077,144.996833,76
Westgarth Primary School,http://www.wgps.vic.edu.au,Government,Prep-6,Primary,45 BROOKE ST & 311 CLARKE ST,NORTHCOTE,VIC,3070,-37.77696,145.006844,95
Plenty Parklands Primary School,http://www.plentyparklands-ps.vic.edu.au,Government,Prep-6,Primary,48 BLOSSOM PARK DRIVE,MILL PARK,VIC,3082,-37.669206,145.076561,86
Spensley Street Primary School,http://www.ssps.vic.edu.au,Government,Prep-6,Primary,193 SPENSLEY STREET,CLIFTON HILL,VIC,3068,-37.787139,145.003954,90
Templeton Primary School,http://www.templetonps.vic.edu.au,Government,Prep-6,Primary,CRESTDALE ROAD,WANTIRNA,VIC,3152,-37.8608513,145.2321192,99
Kent Park Primary School,http://www.kentparkps.vic.edu.au,Government,Prep-6,Primary,GREENAWAY DRIVE,FERNTREE GULLY,VIC,3156,-37.883113,145.263258,84
Mountain Gate Primary School,http://www.mountaingateps.vic.edu.au,Government,Prep-6,Primary,ADELE AVENUE,FERNTREE GULLY,VIC,3156,-37.8851879,145.2701243,86
Wantirna South Primary School,http://www.wantirnasouthps.vic.edu.au,Government,Prep-6,Primary,16 TYNER ROAD,WANTIRNA SOUTH,VIC,3152,-37.871811,145.236386,84
Knox Park Primary School,http://www.knoxparkps.vic.edu.au,Government,Prep-6,Primary,KATHRYN ROAD,KNOXFIELD,VIC,3180,-37.8834526,145.2519805,92
Wantirna Primary School,http://www.wantirnaprimary.vic.edu.au,Government,Prep-6,Primary,120 MOUNTAIN HIGHWAY,WANTIRNA,VIC,3152,-37.856372,145.216926,93
Carrington Primary School,http://www.carringtonps.vic.edu.au,Government,Prep-6,Primary,LAURA ROAD,KNOXFIELD,VIC,3180,-37.8917468,145.2464676,66
Knox Gardens Primary School,http://www.kgps.vic.edu.au,Government,Prep-6,Primary,ARGYLE WAY,WANTIRNA SOUTH,VIC,3152,-37.882417,145.228671,95
Karoo Primary School,http://www.karoops.vic.edu.au,Government,Prep-6,Primary,KAROO ROAD,ROWVILLE,VIC,3178,-37.906087,145.263655,95
Scoresby Primary School,http://www.scoresbyps.vic.edu.au,Government,Prep-6,Primary,11 INGRID STREET,SCORESBY,VIC,3179,-37.894374,145.227667,77
Upwey Primary School,http://www.upweyps.vic.edu.au/,Government,Prep-6,Primary,15 DARLING AVENUE,UPWEY,VIC,3158,-37.902734,145.333134,95
Lysterfield Primary School,http://www.lysterps.vic.edu.au,Government,Prep-6,Primary,BELLFIELD DRIVE,LYSTERFIELD,VIC,3156,-37.9120433,145.2758566,95
Upwey South Primary School,http://www.upweysthps.vic.edu.au/,Government,Prep-6,Primary,91 MORRIS ROAD,UPWEY,VIC,3158,-37.913215,145.325748,80
Camelot Rise Primary School,http://www.camelotrise.vic.edu.au/,Government,Prep-6,Primary,GALAHAD CRESCENT,GLEN WAVERLEY,VIC,3150,-37.865688,145.1882972,99
Park Ridge Primary School,http://www.parkridge-ps.vic.edu.au,Government,Prep-6,Primary,WENTWORTH AVENUE,ROWVILLE,VIC,3178,-37.9183297,145.2629263,88
Tecoma Primary School,http://www.tecomaps.vic.edu.au,Government,Prep-6,Primary,1536 BURWOOD HIGHWAY,TECOMA,VIC,3160,-37.907798,145.344841,86
Brighton Primary School,http://www.brighton.vic.edu.au,Government,Prep-6,Primary,59 WILSON STREET,BRIGHTON,VIC,3186,-37.911602,145.001564,94
Brighton Beach Primary School,http://www.brightonbeachps.vic.edu.au,Government,Prep-6,Primary,19 WINDERMERE CRESCENT,BRIGHTON,VIC,3186,-37.922103,144.996314,93
Gardenvale Primary School,http://www.gardenvale.ps.vic.edu.au,Government,Prep-6,Primary,66 LANDCOX STREET,BRIGHTON EAST,VIC,3187,-37.902619,145.015919,97
Hampton Primary School,http://www.hamptonps.vic.edu.au,Government,Prep-6,Primary,528 HAMPTON STREET,HAMPTON,VIC,3188,-37.933701,145.004373,99
Bentleigh West Primary School,http://www.bwps.net.au,Government,Prep-6,Primary,23 BREWER ROAD,BENTLEIGH,VIC,3204,-37.919883,145.026559,93
Ormond Primary School,http://www.ormondps.vic.edu.au,Government,Prep-6,Primary,CNR MURRAY & WHEATLEY ROADS,ORMOND,VIC,3204,-37.906786,145.033911,93
Sandringham Primary School,http://www.sandyps.vic.edu.au,Government,Prep-6,Primary,29A BAMFIELD STREET,SANDRINGHAM,VIC,3191,-37.947644,145.008013,95
Mckinnon Primary School,http://www.mckinnon-primary.vic.edu.au,Government,Prep-6,Primary,253 TUCKER ROAD,ORMOND,VIC,3204,-37.909359,145.052489,97
Moorabbin Primary School,http://www.moorabbin.vic.edu.au,Government,Prep-6,Primary,WORTHING ROAD,MOORABBIN,VIC,3189,-37.9429779,145.0397099,86
Tucker Road Bentleigh Primary School,http://www.tucker-road.vic.edu.au,Government,Prep-6,Primary,16 TUCKER ROAD,BENTLEIGH,VIC,3204,-37.932512,145.050378,91
Valkstone Primary School,http://www.valkstoneps.vic.edu.au/,Government,Prep-6,Primary,VALKSTONE STREET,BENTLEIGH EAST,VIC,3165,-37.9150271,145.0577394,93
Carnegie Primary School,http://www.carnegieps.vic.edu.au,Government,Prep-6,Primary,51 TRUGANINI ROAD,CARNEGIE,VIC,3163,-37.890152,145.054983,98
Sandringham East Primary School,http://www.sandringhameastps.vic.edu.au,Government,Prep-6,Primary,HOLLOWAY ROAD,SANDRINGHAM,VIC,3191,-37.9566329,145.0226735,94
Southmoor Primary School,http://www.southmoor.vic.edu.au,Government,Prep-6,Primary,RICA STREET,MOORABBIN,VIC,3189,-37.9421349,145.0557587,98
Coatesville Primary School,http://www.coatesps.vic.edu.au,Government,Prep-6,Primary,21 MACKIE ROAD,BENTLEIGH EAST,VIC,3165,-37.920342,145.073034,94
Murrumbeena Primary School,http://www.murrumbeenaps.vic.edu.au,Government,Prep-6,Primary,HOBART ROAD,MURRUMBEENA,VIC,3163,-37.886489,145.070246,97
Black Rock Primary School,http://www.blackrockps.vic.edu.au,Government,Prep-6,Primary,ARKARINGA CRESCENT,BLACK ROCK,VIC,3193,-37.9687594,145.02198,96
East Bentleigh Primary School,http://www.eastbentleighps.vic.edu.au,Government,Prep-6,Primary,BIGNELL ROAD,EAST BENTLEIGH,VIC,3165,-37.9345719,145.0702251,78
Hughesdale Primary School,http://www.hughesdaleps.vic.edu.au,Government,Prep-6,Primary,BRINE STREET,HUGHESDALE,VIC,3166,-37.9057032,145.0780384,96
Beaumaris North Primary School,http://www.beaumarisnorthps.vic.edu.au,Government,Prep-6,Primary,WOOD STREET,BEAUMARIS,VIC,3193,-37.9739813,145.0369787,92
Malvern Valley Primary School,http://www.mvps.vic.edu.au,Government,Prep-6,Primary,ABBOTSFORD AVENUE,MALVERN EAST,VIC,3145,-37.880607,145.081605,86
Oakleigh Primary School,http://www.oakleighps.vic.edu.au,Government,Prep-6,Primary,20 WARRIGAL ROAD,OAKLEIGH,VIC,3166,-37.894914,145.088777,98
Research Primary School,http://www.researchps.vic.edu.au,Government,Prep-6,Primary,1570 MAIN ROAD,RESEARCH,VIC,3095,-37.702814,145.183125,93
Wattle Glen Primary School,http://www.wattlegps.vic.edu.au/,Government,Prep-6,Primary,16-24 REYNOLDS ROAD,WATTLE GLEN,VIC,3096,-37.668687,145.182505,69
Diamond Creek East Primary School,http://www.dceps.vic.edu.au,Government,Prep-6,Primary,129-163 MAIN HURSTBRIDGE ROAD,DIAMOND CREEK,VIC,3089,-37.673504,145.165564,89
Panton Hill Primary School,http://www.pantonhill.vic.edu.au,Government,Prep-6,Primary,585 KANGAROO GRD-ST ANDREWS RD,PANTON HILL,VIC,3759,-37.6416629,145.239716,92
Glen Waverley Primary School,http://www.glenps.vic.edu.au,Government,Prep-6,Primary,774 HIGH STREET ROAD,GLEN WAVERLEY,VIC,3150,-37.875204,145.168647,99
Mount View Primary School,http://www.mountviewps.vic.edu.au,Government,Prep-6,Primary,SHEPHERD ROAD,GLEN WAVERLEY,VIC,3150,-37.8844215,145.1789148,99
Pinewood Primary School,http://www.pinewood-ps.vic.edu.au,Government,Prep-6,Primary,27-35 PINEWOOD DRIVE,MOUNT WAVERLEY,VIC,3149,-37.891002,145.142011,99
Wheelers Hill Primary School,http://www.wheelershillps.vic.edu.au,Government,Prep-6,Primary,134-148 WHITES LANE,WHEELERS HILL,VIC,3150,-37.900966,145.177908,98
Brandon Park Primary School,http://www.bpps.vic.edu.au,Government,Prep-6,Primary,1-5 NINEVAH CRESCENT,WHEELERS HILL,VIC,3150,-37.913344,145.172858,98
Waverley Meadows Primary School,http://www.waverleymeadowsps.vic.edu.au,Government,Prep-6,Primary,11 COLUMBIA DRIVE,WHEELERS HILL,VIC,3150,-37.914386,145.183459,94
Sussex Heights Primary School,http://www.sussexheightsps.vic.edu.au,Government,Prep-6,Primary,36 SOLOMON STREET,MOUNT WAVERLEY,VIC,3149,-37.888596,145.109647,69
Clayton North Primary School,http://www.claytonnorthps.vic.edu.au,Government,Prep-6,Primary,1714 DANDENONG ROAD,CLAYTON,VIC,3168,-37.912781,145.122755,84
Albany Rise Primary School,http://www.albanyrise-ps.vic.edu.au,Government,Prep-6,Primary,ALBANY DRIVE,MULGRAVE,VIC,3170,-37.9282525,145.1724407,86
Amsleigh Park Primary School,http://www.amsleighpark.com,Government,Prep-6,Primary,17 STATE STREET,OAKLEIGH EAST,VIC,3166,-37.900154,145.108115,83
Huntingdale Primary School,http://www.huntingdaleps.vic.edu.au,Government,Prep-6,Primary,GRANGE STREET,OAKLEIGH SOUTH,VIC,3167,-37.913087,145.102299,90
Mulgrave Primary School,http://www.mulgraveps.vic.edu.au,Government,Prep-6,Primary,GLADESWOOD DRIVE,MULGRAVE,VIC,3170,-37.9332851,145.1987157,87
Westall Primary School,http://www.westallps.vic.edu.au,Government,Prep-6,Primary,FAIRBANK ROAD,CLAYTON SOUTH,VIC,3169,-37.9424757,145.1361161,65
Clarinda Primary School,http://www.clarindaps.vic.edu.au,Government,Prep-6,Primary,1166 CENTRE ROAD,CLARINDA,VIC,3169,-37.926973,145.102347,88
Oakleigh South Primary School,http://www.oakleighsouthps.vic.edu.au,Government,Prep-6,Primary,RILEY STREET,OAKLEIGH SOUTH,VIC,3167,-37.9234189,145.0954753,99
Clayton South Primary School,http://www.claytonsouthps.vic.edu.au,Government,Prep-6,Primary,539 CLAYTON ROAD,CLAYTON SOUTH,VIC,3169,-37.940523,145.115497,83
Silverton Primary School,http://www.silverton-ps.vic.edu.au,Government,Prep-6,Primary,77-123 JACKSONS ROAD,NOBLE PARK NORTH,VIC,3174,-37.948653,145.192874,81
Rowville Primary School,http://www.rowvilleps.vic.edu.au,Government,Prep-6,Primary,PARATEA DRIVE,ROWVILLE,VIC,3178,-37.9225641,145.2378255,88
Clifton Hill Primary School,http://www.cliftonhillps.vic.edu.au,Government,Prep-6,Primary,185 GOLD ST,CLIFTON HILL,VIC,3068,-37.792509,144.989352,96
Mentone Park Primary School,http://www.mentonepark.vic.edu.au,Government,Prep-6,Primary,BROOME AVENUE,MENTONE,VIC,3194,-37.9798494,145.0819247,83
Mentone Primary School,http://www.mentoneps.vic.edu.au,Government,Prep-6,Primary,6 CHILDERS STREET,MENTONE,VIC,3194,-37.983299,145.067837,95
Spring Parks Primary School,http://springparksps.vic.edu.au/,Government,Prep-6,Primary,24 ERICA STREET,SPRINGVALE,VIC,3171,-37.959044,145.140322,83
Beaumaris Primary School,http://www.beaups.vic.edu.au/,Government,Prep-6,Primary,79-99 DALGETTY ROAD,BEAUMARIS,VIC,3193,-37.985235,145.036641,94
Wallarano Primary School,http://www.wallarano-ps.vic.edu.au,Government,Prep-6,Primary,38-64 WALLARANO DRIVE,NOBLE PARK,VIC,3174,-37.979994,145.170493,77
Heatherhill Primary School,http://www.heatherhillps.vic.edu.au,Government,Prep-6,Primary,959 HEATHERTON ROAD,SPRINGVALE,VIC,3171,-37.962385,145.158995,74
Chandler Park Primary School,http://www.chandlerparkps.vic.edu.au,Government,Prep-6,Primary,COCHRANE AVENUE,KEYSBOROUGH,VIC,3173,-37.9918921,145.1803213,78
Noble Park Primary School,http://www.nobleparkps.vic.edu.au,Government,Prep-6,Primary,65 BUCKLEY STREET,NOBLE PARK,VIC,3174,-37.970918,145.174533,66
Harrisfield Primary School,http://www.harrisfield.ps.vic.edu.au,Government,Prep-6,Primary,495 PRINCES HWY,NOBLE PARK,VIC,3174,-37.95475,145.178687,88
Yarraman Oaks Primary School,http://www.yarramanoaksps.vic.edu.au/,Government,Prep-6,Primary,27 LIEGE AVENUE,NOBLE PARK,VIC,3174,-37.970582,145.192536,70
Dandenong South Primary School,http://www.dandenong-south-ps.vic.edu.au,Government,Prep-6,Primary,52 KIRKHAM ROAD,DANDENONG,VIC,3175,-37.99797,145.211942,65
Lyndale Greens Primary School,,Government,Prep-6,Primary,1 - 19 OAKWOOD AVENUE,DANDENONG NORTH,VIC,3175,-37.964678,145.204714,87
Dandenong North Primary School,http://www.dandenongnorthps.vic.edu.au,Government,Prep-6,Primary,117-125 CLEELAND STREET,DANDENONG,VIC,3175,-37.976353,145.214621,90
Dandenong Primary School,http://www.dandenongps.vic.edu.au,Government,Prep-6,Primary,174-182 FOSTER STREET,DANDENONG,VIC,3175,-37.988029,145.220929,65
Wooranna Park Primary School,http://www.woorannaparkps.vic.edu.au,Government,Prep-6,Primary,89-105 CARLTON ROAD,DANDENONG,VIC,3175,-37.95974,145.217054,69
Port Melbourne Primary School,http://www.portmelb.vic.edu.au,Government,Prep-6,Primary,415 GRAHAM STREET,PORT MELBOURNE,VIC,3207,-37.835594,144.932963,90
Williamstown Primary School,http://www.williamstownps.vic.edu.au,Government,Prep-6,Primary,CECIL STREET,WILLIAMSTOWN,VIC,3016,-37.8642073,144.8999571,90
Carlton Gardens Primary School,http://www.carltongardens.vic.edu.au,Government,Prep-6,Primary,215 RATHDOWNE STREET,CARLTON,VIC,3053,-37.801958,144.969283,97
Williamstown North Primary School,http://www.willynthps.vic.edu.au,Government,Prep-6,Primary,133 MELBOURNE ROAD,WILLIAMSTOWN,VIC,3016,-37.856076,144.891405,96
Carlton Primary School,http://www.carltonprimaryschool.vic.edu.au/,Government,Prep-6,Primary,CNR PALMERSTON & DRUMMOND STS,CARLTON,VIC,3053,-37.795831,144.969267,74
Carlton North Primary School,http://www.carltonnthps.vic.edu.au,Government,Prep-6,Primary,60 LEE STREET,CARLTON NORTH,VIC,3054,-37.791355,144.973182,93
Spotswood Primary School,http://www.spotswoodps.vic.edu.au,Government,Prep-6,Primary,MELBOURNE ROAD,SPOTSWOOD,VIC,3015,-37.8306888,144.8828069,73
Kensington Primary School,http://www.kensingtonps.vic.edu.au,Government,Prep-6,Primary,MCCRACKEN STREET,KENSINGTON,VIC,3031,-37.7926753,144.9270124,92
Newport Lakes Primary School,http://www.newportlakesps.vic.edu.au,Government,Prep-6,Primary,ELIZABETH STREET,NEWPORT,VIC,3015,-37.83816789,144.8782386,97
Footscray City Primary School,http://www.fcps.vic.edu.au,Government,Prep-6,Primary,10 HYDE STREET,FOOTSCRAY,VIC,3011,-37.806008,144.899408,81
Fitzroy North Primary School,http://www.fitzroynthps.vic.edu.au,Government,Prep-6,Primary,FERGIE STREET,FITZROY NORTH,VIC,3068,-37.785165,144.983997,91
Princes Hill Primary School,http://www.phps.vic.edu.au,Government,Prep-6,Primary,280 PIGDON STREET,CARLTON NORTH,VIC,3054,-37.781831,144.970584,86
Merri Creek Primary School,http://www.merricreekps.vic.edu.au/,Government,Prep-6,Primary,MILLER STREET,FITZROY NORTH,VIC,3068,-37.77679889,144.9837581,96
Brunswick South Primary School,http://www.brunswicksouthps.vic.edu.au,Government,Prep-6,Primary,56 BRUNSWICK ROAD,BRUNSWICK EAST,VIC,3057,-37.778873,144.972468,94
Northcote Primary School,http://www.northcoteps.vic.edu.au,Government,Prep-6,Primary,33 HELEN STREET,NORTHCOTE,VIC,3070,-37.771781,144.996436,95
Brunswick East Primary School,http://www.beps.vic.edu.au,Government,Prep-6,Primary,195A STEWART STREET,BRUNSWICK EAST,VIC,3057,-37.764932,144.979582,89
Flemington Primary School,http://www.flemingtonps.vic.edu.au,Government,Prep-6,Primary,MT ALEXANDER ROAD,FLEMINGTON,VIC,3031,-37.7858783,144.9349767,89
Brunswick South West Primary School,http://www.brunswicksw-ps.vic.edu.au/html/index.html,Government,Prep-6,Primary,SOUTH DALY STREET,BRUNSWICK WEST,VIC,3055,-37.7708097,144.9436269,94
Brunswick North Primary School,http://www.brunswicknorthps.vic.edu.au,Government,Prep-6,Primary,PEARSON STREET,BRUNSWICK WEST,VIC,3055,-37.759815,144.9510641,92
Ascot Vale Primary School,http://www.avps.vic.edu.au,Government,Prep-6,Primary,BANK STREET,ASCOT VALE,VIC,3032,-37.7747176,144.9261113,77
Moreland Primary School,http://www.morelandps.vic.edu.au,Government,Prep-6,Primary,157-163 MORELAND ROAD,COBURG,VIC,3058,-37.755321,144.966893,79
Moonee Ponds Primary School,http://www.mpp.vic.edu.au,Government,Prep-6,Primary,WILSON STREET,MOONEE PONDS,VIC,3039,-37.763088,144.9337059,95
Brunswick North West Primary School,http://www.brunswicknwps.vic.edu.au,Government,Prep-6,Primary,CULLODEN STREET,BRUNSWICK WEST,VIC,3055,-37.7566117,144.9436043,90
Ascot Vale West Primary School,http://www.avwps.vic.edu.au,Government,Prep-6,Primary,LANGS RD,ASCOT VALE,VIC,3032,-37.7799948,144.9105572,67
Bell Primary School,http://www.bellps.vic.edu.au,Government,Prep-6,Primary,78A OAKOVER ROAD,PRESTON,VIC,3072,-37.747547,144.990482,92
Coburg West Primary School,http://www.cobw.vic.edu.au/,Government,Prep-6,Primary,REYNARD STREET,COBURG,VIC,3058,-37.747712,144.947596,93
Moonee Ponds West Primary School,http://www.mooneewestps.vic.edu.au,Government,Prep-6,Primary,150 ATHOL STREET,MOONEE PONDS,VIC,3039,-37.768585,144.909007,86
Coburg Primary School,http://www.coburgps.vic.edu.au/,Government,Prep-6,Primary,98 BELL STREET,COBURG,VIC,3058,-37.741035,144.966051,75
Pascoe Vale South Primary School,http://www.pvsps.vic.edu.au,Government,Prep-6,Primary,411 - 429 REYNARD STREET,PASCOE VALE SOUTH,VIC,3044,-37.746242,144.935565,90
Essendon Primary School,http://www.essendonps.vic.edu.au,Government,Prep-6,Primary,38 RALEIGH STREET,ESSENDON,VIC,3040,-37.7527,144.921369,92
Hampton Park Primary School,http://www.hpps.vic.edu.au,Government,Prep-6,Primary,SOMERVILLE ROAD,HAMPTON PARK,VIC,3976,-38.0309068,145.2528398,67
Coburg North Primary School,http://www.coburg-north-ps.vic.edu.au,Government,Prep-6,Primary,180 O'HEA STREET,COBURG,VIC,3058,-37.736204,144.951469,94
Pascoe Vale Primary School,http://www.pvps.vic.edu.au/,Government,Prep-6,Primary,362 GAFFNEY STREET,PASCOE VALE,VIC,3044,-37.731041,144.936958,84
Pascoe Vale North Primary School,http://www.pvnps.vic.edu.au,Government,Prep-6,Primary,KENT ROAD,PASCOE VALE,VIC,3044,-37.7308033,144.9375345,80
Newlands Primary School,http://www.newlandsps.vic.edu.au/,Government,Prep-6,Primary,2-26 MURPHY STREET,PRESTON,VIC,3072,-37.729846,144.985444,99
Strathmore Primary School,http://www.strathmoreps.vic.edu.au,Government,Prep-6,Primary,LLOYD STREET,STRATHMORE,VIC,3041,-37.735098,144.9168892,84
Essendon North Primary School,http://www.enps.vic.edu.au/,Government,Prep-6,Primary,112 KEILOR ROAD,ESSENDON NORTH,VIC,3041,-37.740581,144.903464,91
Reservoir West Primary School,http://www.rwps.vic.edu.au,Government,Prep-6,Primary,CARRINGTON ROAD,RESERVOIR,VIC,3073,-37.7218324,144.9896273,78
Aberfeldie Primary School,http://www.aberfeldieps.vic.edu.au/home/,Government,Prep-6,Primary,1 DOONE STREET,ESSENDON,VIC,3040,-37.756554,144.89441,90
Fawkner Primary School,http://www.fawknerps.vic.edu.au,Government,Prep-6,Primary,LORNE STREET,FAWKNER,VIC,3060,-37.7153645,144.9742008,80
Strathmore North Primary School,http://www.snps.vic.edu.au/,Government,Prep-6,Primary,MASCOMA STREET,STRATHMORE,VIC,3041,-37.7247366,144.9165236,95
Westbreen Primary School,http://www.westbreenps.vic.edu.au,Government,Prep-6,Primary,2-10 PASCOE STREET,PASCOE VALE,VIC,3044,-37.715667,144.935852,67
Oak Park Primary School,http://www.oakparkps.vic.edu.au,Government,Prep-6,Primary,WILLETT AVENUE,OAK PARK,VIC,3046,-37.7162586,144.9148017,85
Footscray North Primary School,http://www.footsnth.vic.edu.au/,Government,Prep-6,Primary,14 ROSAMOND ROAD,FOOTSCRAY,VIC,3011,-37.787839,144.885472,82
Footscray Primary School,http://www.footscrayps.vic.edu.au/,Government,Prep-6,Primary,CNR GEELONG ROAD & BARKLY ST,FOOTSCRAY,VIC,3011,-37.7989873,144.8931844,78
Footscray West Primary School,http://www.fwps.vic.edu.au/,Government,Prep-6,Primary,ARGYLE STREET,WEST FOOTSCRAY,VIC,3012,-37.794914,144.876049,86
Niddrie Primary School,http://www.niddrieps.vic.edu.au,Government,Prep-6,Primary,25 WATT STREET,NIDDRIE,VIC,3042,-37.730362,144.876605,82
Yarraville West Primary School,http://www.ywps.vic.edu.au,Government,Prep-6,Primary,30 POWELL STREET,YARRAVILLE,VIC,3013,-37.814916,144.885098,96
Keilor Heights Primary School,http://www.kheights.vic.edu.au/,Government,Prep-6,Primary,RONALD GROVE,KEILOR EAST,VIC,3033,-37.7371061,144.8666286,90
Dinjerra Primary School,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=8d92c00c-ed32-de11-9c94-002185cd8e5c,Government,Prep-6,Primary,44 SOUTH ROAD,BRAYBROOK,VIC,3019,-37.790925,144.856674,67
Kingsville Primary School,http://www.kingsvilleps.vic.edu.au,Government,Prep-6,Primary,58 BISHOP STREET,YARRAVILLE,VIC,3013,-37.812488,144.874065,92
Red Hill Consolidated School,http://www.redhillcs.vic.edu.au/,Government,Prep-6,Primary,341 ARTHURS SEAT ROAD,RED HILL,VIC,3937,-38.367094,144.996333,88
Balnarring Primary School,http://www.balnarringps.vic.edu.au,Government,Prep-6,Primary,1 CIVIC COURT,BALNARRING,VIC,3926,-38.374698,145.126146,82
Boneo Primary School,http://boneops.com.au/,Government,Prep-6,Primary,582 BONEO ROAD,BONEO,VIC,3939,-38.411958,144.886816,76
Dromana Primary School,http://www.dromanaps.vic.edu.au,Government,Prep-6,Primary,MCCULLOCH STREET,DROMANA,VIC,3936,-38.3385406,144.9606425,84
Rosebud Primary School,http://www.rosebudps.vic.edu.au/,Government,Prep-6,Primary,POINT NEPEAN ROAD,ROSEBUD,VIC,3939,-38.3553164,144.9086759,70
Eastbourne Primary School,http://www.eastbourne.vic.edu.au,Government,Prep-6,Primary,ALLAMBI AVENUE,ROSEBUD,VIC,3939,-38.3741751,144.883829,69
Tootgarook Primary School,http://www.tootps.vic.edu.au,Government,Prep-6,Primary,CARMICHAEL STREET,TOOTGAROOK,VIC,3941,-38.3694999,144.8576841,68
Crib Point Primary School,http://www.cpps.vic.edu.au/,Government,Prep-6,Primary,70 MILNE STREET,CRIB POINT,VIC,3919,-38.360151,145.201422,75
Tooradin Primary School,http://www.tooradin.vic.edu.au,Government,Prep-6,Primary,BAYVIEW ROAD,TOORADIN,VIC,3980,-38.207465,145.378755,81
Glenroy Central Primary School,http://www.glenroycentralps.vic.edu.au,Government,Prep-6,Primary,10 LOGAN STREET,GLENROY,VIC,3046,-37.704898,144.925283,85
Diamond Creek Primary School,http://www.diamondcreekps.vic.edu.au,Government,Prep-6,Primary,17 CLYDE STREET,DIAMOND CREEK,VIC,3089,-37.671217,145.150786,80
Yarrambat Primary School,http://www.yarrambatps.vic.edu.au,Government,Prep-6,Primary,552 YAN YEAN ROAD,YARRAMBAT,VIC,3091,-37.640917,145.133216,80
Hurstbridge Primary School,http://www.hbridgeps.vic.edu.au,Government,Prep-6,Primary,MAIN ROAD,HURSTBRIDGE,VIC,3099,-37.6361664,145.1989063,82
Morang South Primary School,http://www.morangsouthps.vic.edu.au,Government,Prep-6,Primary,77 GORGE ROAD,SOUTH MORANG,VIC,3752,-37.653081,145.095003,76
Doreen Primary School,http://www.doreenps.vic.edu.au,Government,Prep-6,Primary,DOCTORS GULLY ROAD,DOREEN,VIC,3754,-37.606103,145.146234,93
Findon Primary School,http://www.findonps.vic.edu.au,Government,Prep-6,Primary,CUTHBERT DRIVE,MILL PARK,VIC,3082,-37.6664918,145.0500024,79
Mill Park Heights Primary School,http://www.millparkhtsps.vic.edu.au,Government,Prep-6,Primary,PINDARI AVENUE,MILL PARK,VIC,3082,-37.65531767,145.0512222,82
Meadowglen Primary School,http://www.meadowglenps.vic.edu.au,Government,Prep-6,Primary,22-48 MEADOW GLEN DRIVE,EPPING,VIC,3076,-37.643314,145.053562,75
